"Support Item Number","Support Item","Support Item Description","Support Categories","Unit of Measure","Quote","Price Limit","Price Control","Line number"
"04_199_0104_6_1","Group Based Activities In A Centre - Ratio 1:3 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","49.58","Y",206
"04_200_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","20.16","Y",207
"04_201_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","21.91","Y",208
"04_202_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","27.16","Y",209
"04_203_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","34.16","Y",210
"04_204_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","41.15","Y",211
"04_205_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","17.83","Y",212
"04_206_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","19.35","Y",213
"04_207_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","23.91","Y",214
"04_208_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","30.01","Y",215
"04_209_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","36.1","Y",216
"05_053603010_0103_1_2","Standing Frame - Child Under 5","Apparatus to hold a person in a standing position","Assistive technology","EA","Y","","N",225
"05_122203119_0105_1_2","Wheelchair - Manual Custom Folding - Annual Fee","Frame is made to individual measurements - Annual Fee","Assistive technology","YR","Y","","N",349
"05_122203120_0105_1_2","Wheelchair - Manual Tilt In Space - Annual Fee","Manual frame with seat and back rest able to be tipped as a unit past 90 degrees - Annual Fee.","Assistive technology","YR","Y","","N",350
"05_180939187_0103_1_2","Child Postural Chair","Feeding seat for a child","Assistive technology","EA","Y","","N",414
"05_181288206_0103_1_2","Bed","","Assistive technology","EA","Y","","N",436
"05_222106443_0122_1_2","Remote Microphone System","Remote microphone system","Assistive technology","EA","Y","","N",476
"05_223612273_0103_1_2","Electronic Input Device - Neural Or Neuromuscular - Annual Amount","","Assistive technology","YR","N","","N",496
"05_223906279_0113_1_2","Braille Printers - Lease - Annual Amount","","Assistive technology","YR","Y","","N",503
"15_052_0128_1_3","Therapy Assistants (Level 1)","Support role for an allied health assistant working under the supervision of a therapist.","Improved daily living skills","H","N","45.66","Y",655
