Registration Group,Support Item,Support Item Number,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
Assist Personal Activities                                  ,assistance with self-care activities during daytime weekdays,01_011_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,56.93,Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,assistance with self-care activities on Public Holidays,01_012_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,121,Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,assistance with self-care activities on Saturdays,01_013_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,78.3,Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,assistance with self-care activities on Sundays,01_014_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,99.64,Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,assistance with self-care activities per weekday evening,01_015_0107_1_1,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,62.28,Y,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,specialised home based assistance for a child,01_016_0104_1_1,Specialist assistance in the home required due to additional requirements of the child’s disability; may be provided to strengthen the sustainability of informal supports.,Hour,N,56.93,Y,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,"o/n monitoring of self-care - off site or onsite, on call (incl 1 hr assist)",01_017_0107_1_1,"Overnight on-call assistance with, or supervision of, personal tasks of daily living.",Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Personal Activities High,assistance with self-care - overnight - higher intensity,01_018_0104_1_1,"Assistance with, or supervision of, personal tasks of daily living where intensive overnight support is needed and the care giver will not have the option to sleep",Hour,N,67.32,Y,Assistance with daily life (includes Supported Independent Living),1
Household Tasks                                             ,house and/or yard maintenance,01_019_0120_1_1,Performing essential house and or yard activities that the participant is not able to undertake.,Hour,N,54.93,Y,Assistance with daily life (includes Supported Independent Living),1
Household Tasks                                             ,house cleaning and other household activities,01_020_0120_1_1,Performing essential house cleaning activities that the participant is not able to undertake.,Hour,N,55.92,Y,Assistance with daily life (includes Supported Independent Living),1
Household Tasks                                             ,linen service,01_021_0120_1_1,Provision of clean linen to a participant unable to do their own laundry without assistance.,Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Household Tasks                                             ,assistance with the cost of preparation and delivery of meals,01_022_0120_1_1,"Preparation and delivery of meals to a participant who is unable to do this themselves, and is not in receipt of other supports that would meet the same need. Food costs not included. Cost varies with the number of meals prepared and deliveries required.",Each,Y,14.51,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in living arrangements (host family/alternative family situation),01_026_0115_1_1,Agreement for a participant with high support needs to stay with a host family. The host family will have minimum qualifications & provide support in the home for the agreed time. The quote will reflect the hours of assistance required & length of stay.,Day,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement (hourly rate per person ),01_027_0115_1_1,"Daily living support provided in a shared living arrangement. This rate is paid by the hour for one-to-one assistance, divided by the number of people supported.",Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 2 persons - complex needs,01_028_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,6279.33,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 3 persons - complex needs,01_029_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant",Week,Y,5438.05,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 4 persons - complex needs,01_030_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,4317.31,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 5 persons - complex needs,01_031_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,3795.39,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 6 persons - complex needs,01_032_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,3403.58,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 7 persons or more - complex needs,01_033_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,3403.58,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 2 persons - standard,01_034_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,4849.6,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 3 persons - standard,01_035_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,4003.87,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 4 persons - standard,01_036_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,3101.96,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 5 persons - standard,01_037_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2970.37,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 6 persons - standard,01_038_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2878.69,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 7 persons or more - standard,01_039_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2878.69,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 3 persons - lower needs,01_040_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2454.37,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 4 persons - lower needs,01_041_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2438.1,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 5 persons - lower needs,01_042_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2370.1,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 6 persons - lower needs,01_043_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2189.71,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 7 persons or more - lower needs,01_044_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2189.71,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, weekday, standard intensity",01_045_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,628.75,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in individual living arrangement for person with complex needs,01_046_0115_1_1,,Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,assistance in a shared living arrangement for 2 persons - lower needs,01_047_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,2822.52,Benchmark,Assistance with daily life (includes Supported Independent Living),1
Assist Personal Activities                                  ,Establishment Fee for Personal Care/Community Access,01_049_0107_1_1,Establishment Fee for Personal Care/Community Access (20 hours per month).,Each,N,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living      ,Cross billing payments for residential aged care subsidies and supplements,01_049_0115_1_1,Cross billing payments for residential aged care subsidies and supplements,Week,N,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living      ,assistance with daily life tasks provided in residential aged care facility,01_050_0115_1_1,assistance with daily life tasks provided in residential aged care facility,Each,N,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, Saturday, standard intensity",01_051_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,741.25,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, Sunday, standard intensity",01_052_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,878.75,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, public holiday, standard intensity",01_053_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,1015,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, weekday, high intensity",01_054_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,1008.75,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, Saturday, high intensity",01_055_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,1232.5,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, Sunday, high intensity",01_056_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,1506.25,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, public holiday, high intensity",01_057_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,1781.25,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, weekday, 1:1",01_058_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,1766.25,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, Saturday, 1:1",01_059_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,2215,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, Sunday, 1:1",01_060_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,2763.75,Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living                                   ,"short term accommodation and assistance, public holiday, 1:1",01_061_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,3312.5,Y,Assistance with daily life (includes Supported Independent Living),1
Development of Daily Living and Life Skills,Self-Management Capacity Building,01_134_0117_8_1,Self-Management Capacity Building,Hour,N,71.94,Y,Assistance with daily life (includes Supported Independent Living),1
Assistance Animals,assistance dog (including guide dog) ongoing costs,01_509001024_0130_1_1,assistance dog (including guide dog) ongoing costs,Each,N,,N,Assistance with daily life (includes Supported Independent Living),1
Assistance Animals,assistance dog (including guide dog),01_900101023_0130_1_2,assistance dog (including guide dog),Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Assist-Travel/Transport       ,specialised transport to school/educational facility/employment/community,02_050_0108_1_1,specialised transport to school/educational facility/employment/community,Day,Y,,N,Transport (auto payments),2
Assist-Travel/Transport       ,transport,02_051_0108_1_1,transport,Year,Y,,N,Transport (auto payments),2
Assist Prod-Pers Care/Safety,incontinence alarms,03_050903053_0103_1_1,buzzer or similar used in continence training,Each,N,,N,Consumables,3
Interpret/Translate                                         ,Auslan or signed English training,03_089_0121_1_1,Training in the use of Auslan and other communication techniques; tafe course fee or equivalent.,Hour,N,,N,Consumables,3
Interpret/Translate                                         ,interpreting & translating,03_090_0121_1_1,Services to interpret or translate another language.,Hour,N,,N,Consumables,3
Interpret/Translate                                         ,telephone or video interpreting,03_091_0121_1_1,Telephone or video services to interpret or translate another language or format.,Hour,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence package A - child annual amount,03_092403054_0103_1_1,"Indwelling catheters, bags, night bottle or bags and change kits.",Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence package A - adult annual amount,03_092403055_0103_1_1,"indwelling catheters, bags, night bottle or bags and change kits.",Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence package B - intermittent mild - annual amount,03_092406057_0103_1_1,3 per day intermittent catheters with gel and lubricant - annual amount.,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence package C - intermittent moderate annual amount,03_092406058_0103_1_1,4 per day intermittent catheters with gel and lubricant - annual amount.,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence package D - intermittent higher needs annual amount,03_092406059_0103_1_1,6 per day intermittent catheters with gel and lubricant - annual amount.,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,adult intermittent catheters standard 3/day- annual,03_092406061_0103_1_1,,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,adult intermittent catheters standard 4/day- annual,03_092406062_0103_1_1,,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,adult intermittent catheters standard 6/day- annual,03_092406063_0103_1_1,,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence products urinary - other for child,03_092488056_0103_1_1,Individualised continence package or products not listed elsewhere in this list.,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence products urinary- other for adult,03_092489060_0103_1_1,,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence package E- external,03_092718064_0103_1_1,"sheaths, leg bags, drain bag or bottle, straps- annual amount",Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,child nappy single-use 3/day - annual supply,03_093012065_0103_1_1,Nappy for a child’s disability specific needs,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,child nappy single-use 4/day - annual supply,03_093012066_0103_1_1,Nappy for a child’s disability specific needs,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,child nappy single-use 6/day - annual supply,03_093012067_0103_1_1,Nappy for a child’s disability specific needs,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,child nappy single-use 12/day - annual supply,03_093012068_0103_1_1,Nappy for a child’s disability specific needs,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,washable incontinence products for children,03_093015069_0103_1_1,,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,single-use inserts / pads-adult 3/day - annual supply,03_093018070_0103_1_1,,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,single-use inserts / pads-adult 4/day - annual supply,03_093018071_0103_1_1,,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,single-use inserts / pads-adult 6/day - annual supply,03_093018072_0103_1_1,,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,single-use inserts / pads-adult 12/day - annual supply,03_093018073_0103_1_1,,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,adult absorbent pull up or brief 3/day- annual supply,03_093021074_0103_1_1,single-use diapers,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,adult absorbent pull up or brief 4/day- annual supply,03_093021075_0103_1_1,single-use diapers,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,adult absorbent pull up or brief 6/day- annual supply,03_093021076_0103_1_1,single-use diapers,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,adult absorbent pull up or brief 12/day- annual supply,03_093021077_0103_1_1,single-use diapers,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,washable incontinence pants for adults,03_093036132_0103_1_1,washable incontinence pants for adults,Each,N,,N,Consumables,3
Assist Products for Personal Care and Safety ,non-body-worn washable products for absorbing urine and faeces,03_093045133_0103_1_1,non-body-worn washable products for absorbing urine and faeces,Each,N,,N,Consumables,3
Assist Products for Personal Care and Safety ,Daily adaptive equipment,03_131_0103_1_1,Daily adaptive equipment,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,HEN pump accessory - items required for syringe feeding - annual,03_150930078_0103_1_1,"Pump often free on loan, includes gastrostomy, extension tubes, giving sets, containers and syringes.",Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,HEN pump with associated consumables (non-syringe feed) - annual,03_150930079_0103_1_1,Pump often free on loan but includes other consumables for people who do not also syringe feed,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,HEN bolus syringe only- annual,03_150930080_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,additional gastrostomy devices- 3 annual,03_150930081_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,additional extension sets for bolus feeding- 10 annual,03_150930082_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,additional extension sets for pump feeding- 10 annual,03_150930083_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,additional giving sets- 270 annual,03_150930084_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,additional containers- 50 annual,03_150930085_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,additional bolus syringes- 100 annual,03_150930086_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,additional water flush syringes- 100 annual,03_150930087_0103_1_1,average annual allocation,Annual,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,Other HEN equipment including additional cost of food when necessary.,03_150930088_0103_1_1,HEN equipment outside usual 12 month bundles,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,HEN equipment repairs,03_501509092_0103_1_1,,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence aids delivery - non metropolitan,03_710930093_0103_1_1,Delivery of continence items in regional and remote areas - expected maximum up to 4 deliveries per year.  Price guidance is per delivery.,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,continence aids delivery - metropolitan,03_710930094_0103_1_1,Delivery of continence items in regional Metropolitan areas - expected maximum up to 4 deliveries per year. Price guidance is per Delivery.,Each,N,,N,Consumables,3
Assist Prod-Pers Care/Safety,HEN equipment delivery,03_711509095_0103_1_1,,Each,N,,N,Consumables,3
Personal Activities High,"ass to access community, social/rec acts-indiv higher intensity-public holiday",04_097_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs on a public holiday.,Hour,N,127.59,Y,Assistance with social and community participation,4
Personal Activities High,"ass to access community, social/rec acts-indiv higher intensity-weekday evening",04_098_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs during the weekday evening.,Hour,N,66.25,Y,Assistance with social and community participation,4
Personal Activities High,"ass to access community, social/rec acts - indiv - higher intensity -Saturday",04_099_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs on a Saturday.,Hour,N,82.49,Y,Assistance with social and community participation,4
Personal Activities High,"ass to access community, social/rec acts - indiv higher intensity -Sundays",04_100_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs on a Sunday.,Hour,N,104.72,Y,Assistance with social and community participation,4
Personal Activities High,"ass to access community, social/rec acts - indiv higher intensity -weekdays",04_101_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs during the week.,Hour,N,60.85,Y,Assistance with social and community participation,4
Participate Community                                       ,"ass to access community, social and rec activities - indiv -per public holiday",04_102_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a public holiday.",Hour,N,121,Y,Assistance with social and community participation,4
Participate Community                                       ,"ass to access community, social and rec activities - indiv-per weekday evening",04_103_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities during the week",Hour,N,62.28,Y,Assistance with social and community participation,4
Participate Community                                       ,"ass to access community, social and rec activities - individual -per weekdays",04_104_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities during the week",Hour,N,56.93,Y,Assistance with social and community participation,4
Participate Community                                       ,"assistance to access community, social and rec activities - individual -Saturday",04_105_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a Saturday.",Hour,N,78.3,Y,Assistance with social and community participation,4
Participate Community                                       ,"assistance to access community, social and rec activities - individual -Sundays",04_106_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a Sunday.",Hour,N,99.64,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,group based activities in a centre - core,04_107_0136_6_1,social and recreational activities in a centre based program,Hour,N,25.3,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,group based activities in a centre - Saturday,04_108_0136_6_1,Social and recreational activities in a centre based program on Saturdays,Hour,N,37.08,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,group based activities in a centre - Sunday,04_109_0136_6_1,social and recreational activities in a centre based program on Sundays,Hour,N,47.43,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,group based activities in a centre - weekday evening,04_110_0136_6_1,Social and recreational activities in a centre based program when the activity finishes after 8pm.,Hour,N,27.77,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"group based community, social and recreational activities",04_111_0136_6_1,"Community, social and recreational activities in a group.",Hour,N,28.48,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"group based community, social and recreational activities - Saturday",04_112_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays",Hour,N,39.16,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"group based community, social and recreational activities - Sunday",04_113_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays",Hour,N,49.82,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"group based community, social and recreational activities - weekday evening",04_114_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm",Hour,N,31.14,Y,Assistance with social and community participation,4
Participate Community                                       ,"community, social and recreational activities",04_115_0125_6_1,"Annual support to enable a participant to independently engage in community, social and recreational activities when costs of participation exceed an affordable level and without, the participant would be at risk of social isolation.",Annual,N,,N,Assistance with social and community participation,4
