"Support Item Number","Support Item","Support Item Description","Support Categories","Unit of Measure n","Unit of Measure n+1","Quote n","Quote n+1","Price Limit n","Price Limit n+1","Price Control n","Price Control n+1","Line number n","Line number n+1"
"01_053_0115_1_1","short term accommodation and assistance, public holiday, standard intensity","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","812","847.8","Y","Y",49,49
"01_054_0115_1_1","short term accommodation and assistance, weekday, high intensity","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","807","841.8","Y","Y",50,50
"01_055_0115_1_1","short term accommodation and assistance, Saturday, high intensity","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","986","1029.8","Y","Y",51,51
"01_056_0115_1_1","short term accommodation and assistance, Sunday, high intensity","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","1205","1260.8","Y","Y",52,52
"01_057_0115_1_1","short term accommodation and assistance, public holiday, high intensity","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","1425","1491.8","Y","Y",53,53
"01_058_0115_1_1","short term accommodation and assistance, weekday, 1:1","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","1413","1479.8","Y","Y",54,54
"01_059_0115_1_1","short term accommodation and assistance, Saturday, 1:1","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","1772","1855.8","Y","Y",55,55
"01_060_0115_1_1","short term accommodation and assistance, Sunday, 1:1","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","2211","2317.8","Y","Y",56,56
"01_061_0115_1_1","short term accommodation and assistance, public holiday, 1:1","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","Day","D","N","N","2650","2779.8","Y","Y",57,57
"01_134_0117_8_1","Self-Management Capacity Building","Self-Management Capacity Building","Assistance with daily life (includes Supported Independent Living)","Hour","H","N","N","57.55","60.51","Y","Y",58,62
"01_509001024_0130_1_1","assistance dog (including guide dog) ongoing costs","assistance dog (including guide dog) ongoing costs","Assistance with daily life (includes Supported Independent Living)","Each","EA","N","N","","","N","N",59,63
"02_050_0108_1_1","specialised transport to school/educational facility/employment/community","specialised transport to school/educational facility/employment/community","Transport (auto payments)","Day","D","Y","Y","","","N","N",61,64
"02_051_0108_1_1","transport","transport","Transport (auto payments)","Year","YR","Y","Y","","","N","N",62,65
"03_050903053_0103_1_1","incontinence alarms","buzzer or similar used in continence training","Consumables","Each","EA","N","N","","","N","N",63,66
"03_089_0121_1_1","Auslan or signed English training","Training in the use of Auslan and other communication techniques; tafe course fee or equivalent.","Consumables","Hour","H","N","N","","","N","N",64,67
"03_090_0121_1_1","interpreting & translating","Services to interpret or translate another language.","Consumables","Hour","H","N","N","","","N","N",65,68
"03_091_0121_1_1","telephone or video interpreting","Telephone or video services to interpret or translate another language or format.","Consumables","Hour","H","N","N","","","N","N",66,69
"03_092403054_0103_1_1","continence package A - child annual amount","Indwelling catheters, bags, night bottle or bags and change kits.","Consumables","Annual","YR","N","N","","","N","N",67,70
"03_092403055_0103_1_1","continence package A - adult annual amount","indwelling catheters, bags, night bottle or bags and change kits.","Consumables","Annual","YR","N","N","","","N","N",68,71
"03_092406057_0103_1_1","continence package B - intermittent mild - annual amount","3 per day intermittent catheters with gel and lubricant - annual amount.","Consumables","Annual","YR","N","N","","","N","N",69,72
"03_092406058_0103_1_1","continence package C - intermittent moderate annual amount","4 per day intermittent catheters with gel and lubricant - annual amount.","Consumables","Annual","YR","N","N","","","N","N",70,73
"03_092406059_0103_1_1","continence package D - intermittent higher needs annual amount","6 per day intermittent catheters with gel and lubricant - annual amount.","Consumables","Annual","YR","N","N","","","N","N",71,74
"03_092406061_0103_1_1","adult intermittent catheters standard 3/day- annual","","Consumables","Annual","YR","N","N","","","N","N",72,75
"03_092406062_0103_1_1","adult intermittent catheters standard 4/day- annual","","Consumables","Annual","YR","N","N","","","N","N",73,76
"03_092406063_0103_1_1","adult intermittent catheters standard 6/day- annual","","Consumables","Annual","YR","N","N","","","N","N",74,77
"03_092488056_0103_1_1","continence products urinary - other for child","Individualised continence package or products not listed elsewhere in this list.","Consumables","Each","EA","N","N","","","N","N",75,78
"03_092489060_0103_1_1","continence products urinary- other for adult","","Consumables","Each","EA","N","N","","","N","N",76,79
"03_092718064_0103_1_1","continence package E- external","sheaths, leg bags, drain bag or bottle, straps- annual amount","Consumables","Annual","YR","N","N","","","N","N",77,80
"03_093012065_0103_1_1","child nappy single-use 3/day - annual supply","Nappy for a child�s disability specific needs","Consumables","Annual","YR","N","N","","","N","N",78,81
"03_093012066_0103_1_1","child nappy single-use 4/day - annual supply","Nappy for a child�s disability specific needs","Consumables","Annual","YR","N","N","","","N","N",79,82
"03_093012067_0103_1_1","child nappy single-use 6/day - annual supply","Nappy for a child�s disability specific needs","Consumables","Annual","YR","N","N","","","N","N",80,83
"03_093012068_0103_1_1","child nappy single-use 12/day - annual supply","Nappy for a child�s disability specific needs","Consumables","Annual","YR","N","N","","","N","N",81,84
"03_093015069_0103_1_1","washable incontinence products for children","","Consumables","Each","EA","N","N","","","N","N",82,85
"03_093018070_0103_1_1","single-use inserts / pads-adult 3/day - annual supply","","Consumables","Annual","YR","N","N","","","N","N",83,86
"03_093018071_0103_1_1","single-use inserts / pads-adult 4/day - annual supply","","Consumables","Annual","YR","N","N","","","N","N",84,87
"03_093018072_0103_1_1","single-use inserts / pads-adult 6/day - annual supply","","Consumables","Annual","YR","N","N","","","N","N",85,88
"03_093018073_0103_1_1","single-use inserts / pads-adult 12/day - annual supply","","Consumables","Annual","YR","N","N","","","N","N",86,89
"03_093021074_0103_1_1","adult absorbent pull up or brief 3/day- annual supply","single-use diapers","Consumables","Annual","YR","N","N","","","N","N",87,90
"03_093021075_0103_1_1","adult absorbent pull up or brief 4/day- annual supply","single-use diapers","Consumables","Annual","YR","N","N","","","N","N",88,91
"03_093021076_0103_1_1","adult absorbent pull up or brief 6/day- annual supply","single-use diapers","Consumables","Annual","YR","N","N","","","N","N",89,92
"03_093021077_0103_1_1","adult absorbent pull up or brief 12/day- annual supply","single-use diapers","Consumables","Annual","YR","N","N","","","N","N",90,93
"03_093036132_0103_1_1","washable incontinence pants for adults","washable incontinence pants for adults","Consumables","Each","EA","N","N","","","N","N",91,94
"03_093045133_0103_1_1","non-body-worn washable products for absorbing urine and faeces","non-body-worn washable products for absorbing urine and faeces","Consumables","Each","EA","N","N","","","N","N",92,95
"03_131_0103_1_1","Daily adaptive equipment","Daily adaptive equipment","Consumables","Each","EA","N","N","","","N","N",93,96
"03_150930078_0103_1_1","HEN pump accessory - items required for syringe feeding - annual","Pump often free on loan, includes gastrostomy, extension tubes, giving sets, containers and syringes.","Consumables","Annual","YR","N","N","","","N","N",94,97
"03_150930079_0103_1_1","HEN pump with associated consumables (non-syringe feed) - annual","Pump often free on loan but includes other consumables for people who do not also syringe feed","Consumables","Annual","YR","N","N","","","N","N",95,98
"03_150930080_0103_1_1","HEN bolus syringe only- annual","average annual allocation","Consumables","Annual","YR","N","N","","","N","N",96,99
"03_150930081_0103_1_1","additional gastrostomy devices- 3 annual","average annual allocation","Consumables","Annual","YR","N","N","","","N","N",97,100
"03_150930082_0103_1_1","additional extension sets for bolus feeding- 10 annual","average annual allocation","Consumables","Annual","YR","N","N","","","N","N",98,101
"03_150930083_0103_1_1","additional extension sets for pump feeding- 10 annual","average annual allocation","Consumables","Annual","YR","N","N","","","N","N",99,102
"03_150930084_0103_1_1","additional giving sets- 270 annual","average annual allocation","Consumables","Annual","YR","N","N","","","N","N",100,103
"03_150930085_0103_1_1","additional containers- 50 annual","average annual allocation","Consumables","Annual","YR","N","N","","","N","N",101,104
"03_150930086_0103_1_1","additional bolus syringes- 100 annual","average annual allocation","Consumables","Annual","YR","N","N","","","N","N",102,105
"03_150930087_0103_1_1","additional water flush syringes- 100 annual","average annual allocation","Consumables","Annual","YR","N","N","","","N","N",103,106
"03_150930088_0103_1_1","Other HEN equipment including additional cost of food when necessary.","HEN equipment outside usual 12 month bundles","Consumables","Each","EA","N","N","","","N","N",104,107
"03_501509092_0103_1_1","HEN equipment repairs","","Consumables","Each","EA","N","N","","","N","N",105,108
"03_710930093_0103_1_1","continence aids delivery - non metropolitan","Delivery of continence items in regional and remote areas - expected maximum up to 4 deliveries per year.  Price guidance is per delivery.","Consumables","Each","EA","N","N","","","N","N",106,109
"03_710930094_0103_1_1","continence aids delivery - metropolitan","Delivery of continence items in regional Metropolitan areas - expected maximum up to 4 deliveries per year. Price guidance is per Delivery.","Consumables","Each","EA","N","N","","","N","N",107,110
"03_711509095_0103_1_1","HEN equipment delivery","","Consumables","Each","EA","N","N","","","N","N",108,111
"04_097_0104_6_1","ass to access community, social/rec acts-indiv higher intensity-public holiday","Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs on a public holiday.","Assistance with social and community participation","Hour","H","N","N","102.08","107.33","Y","Y",109,112
"04_098_0104_6_1","ass to access community, social/rec acts-indiv higher intensity-weekday evening","Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs during the weekday evening.","Assistance with social and community participation","Hour","H","N","N","53","55.27","Y","Y",110,113
"04_099_0104_6_1","ass to access community, social/rec acts - indiv - higher intensity -Saturday","Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs on a Saturday.","Assistance with social and community participation","Hour","H","N","N","65.99","69.48","Y","Y",111,114
"04_100_0104_6_1","ass to access community, social/rec acts - indiv higher intensity -Sundays","Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs on a Sunday.","Assistance with social and community participation","Hour","H","N","N","83.78","88.42","Y","Y",112,115
"04_101_0104_6_1","ass to access community, social/rec acts - indiv higher intensity -weekdays","Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs during the week.","Assistance with social and community participation","Hour","H","N","N","48.68","50.52","Y","Y",113,116
"04_102_0125_6_1","ass to access community, social and rec activities - indiv -per public holiday","Provision of support to enable a participant to independently engage in community, social and recreational activities on a public holiday.","Assistance with social and community participation","Hour","H","N","N","96.8","104.2","Y","Y",114,117
"04_103_0125_6_1","ass to access community, social and rec activities - indiv-per weekday evening","Provision of support to enable a participant to independently engage in community, social and recreational activities during the week","Assistance with social and community participation","Hour","H","N","N","49.83","53.64","Y","Y",115,118
"04_104_0125_6_1","ass to access community, social and rec activities - individual -per weekdays","Provision of support to enable a participant to independently engage in community, social and recreational activities during the week","Assistance with social and community participation","Hour","H","N","N","45.54","49.02","Y","Y",116,119
"04_105_0125_6_1","assistance to access community, social and rec activities - individual -Saturday","Provision of support to enable a participant to independently engage in community, social and recreational activities on a Saturday.","Assistance with social and community participation","Hour","H","N","N","62.64","67.43","Y","Y",117,120
"04_106_0125_6_1","assistance to access community, social and rec activities - individual -Sundays","Provision of support to enable a participant to independently engage in community, social and recreational activities on a Sunday.","Assistance with social and community participation","Hour","H","N","N","79.71","85.8","Y","Y",118,121
"04_107_0136_6_1","group based activities in a centre - core","social and recreational activities in a centre based program","Assistance with social and community participation","Hour","H","N","N","20.24","21.79","Y","Y",119,122
"04_108_0136_6_1","group based activities in a centre - Saturday","Social and recreational activities in a centre based program on Saturdays","Assistance with social and community participation","Hour","H","N","N","29.67","31.94","Y","Y",120,123
"04_109_0136_6_1","group based activities in a centre - Sunday","social and recreational activities in a centre based program on Sundays","Assistance with social and community participation","Hour","H","N","N","37.94","40.84","Y","Y",121,124
"04_110_0136_6_1","group based activities in a centre - weekday evening","Social and recreational activities in a centre based program when the activity finishes after 8pm.","Assistance with social and community participation","Hour","H","N","N","22.22","23.92","Y","Y",122,125
"04_111_0136_6_1","group based community, social and recreational activities","Community, social and recreational activities in a group.","Assistance with social and community participation","Hour","H","N","N","22.78","27.45","Y","Y",123,126
"04_112_0136_6_1","group based community, social and recreational activities - Saturday","Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays","Assistance with social and community participation","Hour","H","N","N","31.33","37.76","Y","Y",124,127
"04_113_0136_6_1","group based community, social and recreational activities - Sunday","Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays","Assistance with social and community participation","Hour","H","N","N","39.86","48.05","Y","Y",125,128
"04_114_0136_6_1","group based community, social and recreational activities - weekday evening","Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm","Assistance with social and community participation","Hour","H","N","N","24.91","30.04","Y","Y",126,129
"04_115_0125_6_1","community, social and recreational activities","Annual support to enable a participant to independently engage in community, social and recreational activities when costs of participation exceed an affordable level and without, the participant would be at risk of social isolation.","Assistance with social and community participation","Annual","YR","N","N","","","N","N",127,130
"04_116_0104_6_1","grp based community, social and recreational activities - higher intensity","Community, social and recreational activities in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.","Assistance with social and community participation","Hour","H","N","N","29.75","29.75","Y","Y",128,131
"04_117_0104_6_1","grp bd community, social and rec activities - higher intensity - Saturday","Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.","Assistance with social and community participation","Hour","H","N","N","42.9","42.9","Y","Y",129,132
