Registration Group,Support Item Number,Support Item,Support Item Description,Unit of Measure,Quote,Price Limit,Price Control,Support Categories,Support Category Number
Household Tasks,01_020_0120_1_1,House Cleaning And Other Household Activities,Performing essential house cleaning activities that the participant is not able to undertake.,H,N,47.04,Y,Assistance with daily life (includes Supported Independent Living),01
Household Tasks,01_021_0120_1_1,Linen Service,Provision of clean linen to a participant unable to do their own laundry without assistance.,EA,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Household Tasks,01_022_0120_1_1,Assistance With The Cost Of Preparation And Delivery Of Meals,"Preparation and delivery of meals to a participant who is unable to do this themselves, and is not in receipt of other supports that would meet the same need. Food costs are not included. Cost varies with the number of meals prepared and deliveries required.",EA,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),Agreement for a participant with high support needs to stay with a host family. The host family will have minimum qualifications & provide support in the home for the agreed time. The quote will reflect the hours of assistance required & length of stay.,D,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_027_0115_1_1,Assistance In A Shared Living Arrangement,"Daily living support provided in a shared living arrangement. This rate is paid by the hour for one-to-one assistance, divided by the number of people supported.",EA,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_028_0115_1_1,Supported Independent Living - For 2 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_029_0115_1_1,Supported Independent Living - For 3 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_030_0115_1_1,Supported Independent Living - For 4 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_031_0115_1_1,Supported Independent Living - For 5 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_032_0115_1_1,Supported Independent Living - For 6 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_033_0115_1_1,Supported Independent Living - For 7 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_034_0115_1_1,Supported Independent Living - For 2 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_035_0115_1_1,Supported Independent Living - For 3 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_036_0115_1_1,Supported Independent Living - For 4 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_037_0115_1_1,Supported Independent Living - For 5 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_038_0115_1_1,Supported Independent Living - For 6 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_039_0115_1_1,Supported Independent Living - For 7 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_040_0115_1_1,Supported Independent Living - For 3 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_041_0115_1_1,Supported Independent Living - For 4 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_042_0115_1_1,Supported Independent Living - For 5 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_043_0115_1_1,Supported Independent Living - For 6 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_044_0115_1_1,Supported Independent Living - For 7 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_045_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:4 - Weekday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,522.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,,EA,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_047_0115_1_1,Supported Independent Living - For 2 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,Y,,N,Assistance with daily life (includes Supported Independent Living),01
Daily Personal Activities (Assist Personal Activities),01_049_0107_1_1,Establishment Fee For Personal Care/Community Access,Establishment Fee for Personal Care/Community Access (20 hours per month).,EA,N,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_049_0115_1_1,Cross Billing Payments For Residential Aged Care Subsidies And Supplements,Cross billing payments for residential aged care subsidies and supplements,WK,N,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_050_0115_1_1,Assistance With Daily Life Tasks Provided In Residential Aged Care Facility,Assistance with daily life tasks provided in residential aged care facility,EA,N,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_051_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:4 - Saturday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,616.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_052_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:4 - Sunday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,732.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_053_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:4 - Public Holiday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,847.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_054_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:2 - Weekday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,841.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_055_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:2 - Saturday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,1029.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_056_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:2 - Sunday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,1260.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_057_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:2 - Public Holiday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,1491.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_058_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:1 - Weekday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,1479.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_059_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:1 - Saturday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,1855.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_060_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:1 - Sunday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,2317.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_061_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:1 - Public Holiday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,2779.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_062_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:3 - Weekday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,628.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_063_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:3 - Saturday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,754.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_064_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:3 - Sunday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,908.8,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,01_065_0115_1_1,Short Term Accommodation And Assistance - Ratio 1:3 - Public Holiday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,N,1062.8,Y,Assistance with daily life (includes Supported Independent Living),01
Development Of Daily Living And Life Skills,01_134_0117_8_1,Self-Management Capacity Building,Self-Management Capacity Building,H,N,60.51,Y,Assistance with daily life (includes Supported Independent Living),01
Assistance Animals (Other Innovative Supports),01_509001024_0130_1_1,Assistance Dog (Including Guide Dog) Ongoing Costs,Assistance dog (including guide dog) ongoing costs,EA,N,,N,Assistance with daily life (includes Supported Independent Living),01
Assistance With Travel/Transport Arrangements,02_050_0108_1_1,Specialised Transport To School/Educational Facility/Employment/Community,Specialised transport to school/educational facility/employment/community,D,Y,,N,Transport (auto payments),02
Assistance With Travel/Transport Arrangements,02_051_0108_1_1,Transport,Transport,YR,Y,,N,Transport (auto payments),02
Assistive Products For Personal Care And Safety,03_050903053_0103_1_1,Incontinence Alarms,Buzzer or similar used in continence training,EA,N,,N,Consumables,03
Interpreting And Translation,03_089_0121_1_1,Auslan Or Signed English Training,Training in the use of Auslan and other communication techniques; tafe course fee or equivalent.,H,N,,N,Consumables,03
Interpreting And Translation,03_090_0121_1_1,Interpreting And Translating,Services to interpret or translate another language.,H,N,,N,Consumables,03
Interpreting And Translation,03_091_0121_1_1,Telephone Or Video Interpreting,Telephone or video services to interpret or translate another language or format.,H,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092403054_0103_1_1,Continence Package A - Child - Annual Amount,"Indwelling catheters, bags, night bottle or bags and change kits.",YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092403055_0103_1_1,Continence Package A - Adult - Annual Amount,"Indwelling catheters, bags, night bottle or bags and change kits.",YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092406057_0103_1_1,Continence Package B - Intermittent Mild - Annual Amount,3 per day intermittent catheters with gel and lubricant - annual amount.,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092406058_0103_1_1,Continence Package C - Intermittent Moderate - Annual Amount,4 per day intermittent catheters with gel and lubricant - annual amount.,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092406059_0103_1_1,Continence Package D - Intermittent Higher Needs - Annual Amount,6 per day intermittent catheters with gel and lubricant - annual amount.,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092406061_0103_1_1,Adult Intermittent Catheters Standard 3/Day - Annual Amount,,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092406062_0103_1_1,Adult Intermittent Catheters Standard 4/Day - Annual Amount,,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092406063_0103_1_1,Adult Intermittent Catheters Standard 6/Day - Annual Amount,,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092488056_0103_1_1,Continence Products Urinary - Other For Child,Individualised continence package or products not listed elsewhere in this list.,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092489060_0103_1_1,Continence Products Urinary - Other For Adult,,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_092718064_0103_1_1,Continence Package E - External,"Sheaths, leg bags, drain bag or bottle, straps- annual amount",YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093012065_0103_1_1,Child Nappy Single-Use 3/Day - Annual Supply,Nappy for a child’s disability specific needs,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093012066_0103_1_1,Child Nappy Single-Use 4/Day - Annual Supply,Nappy for a child’s disability specific needs,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093012067_0103_1_1,Child Nappy Single-Use 6/Day - Annual Supply,Nappy for a child’s disability specific needs,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093012068_0103_1_1,Child Nappy Single-Use 12/Day - Annual Supply,Nappy for a child’s disability specific needs,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093015069_0103_1_1,Washable Incontinence Products For Children,,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093018070_0103_1_1,Single-Use Inserts/Pads - Adult 3/Day - Annual Supply,,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093018071_0103_1_1,Single-Use Inserts/Pads - Adult 4/Day - Annual Supply,,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093018072_0103_1_1,Single-Use Inserts/Pads - Adult 6/Day - Annual Supply,,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093018073_0103_1_1,Single-Use Inserts/Pads - Adult 12/Day - Annual Supply,,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093021074_0103_1_1,Adult Absorbent Pull Up Or Brief 3/Day - Annual Supply,Single-use diapers,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093021075_0103_1_1,Adult Absorbent Pull Up Or Brief 4/Day - Annual Supply,Single-use diapers,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093021076_0103_1_1,Adult Absorbent Pull Up Or Brief 6/Day - Annual Supply,Single-use diapers,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093021077_0103_1_1,Adult Absorbent Pull Up Or Brief 12/Day - Annual Supply,Single-use diapers,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093036132_0103_1_1,Washable Incontinence Pants For Adults,Washable incontinence pants for adults,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_093045133_0103_1_1,Non-Body-Worn Washable Products For Absorbing Urine And Faeces,Non-body-worn washable products for absorbing urine and faeces.,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_131_0103_1_1,Daily Adaptive Equipment,Daily adaptive equipment,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930078_0103_1_1,HEN Pump Accessory - Items Required For Syringe Feeding - Annual Amount,"Pump often free on loan, includes gastrostomy, extension tubes, giving sets, containers and syringes.",YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930079_0103_1_1,HEN Pump With Associated Consumables (Non-Syringe Feed) - Annual Amount,Pump often free on loan but includes other consumables for people who do not also syringe feed,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930080_0103_1_1,HEN Bolus Syringe Only - Annual Amount,Average annual allocation,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930081_0103_1_1,Additional Gastrostomy Devices- 3 Annual,Average annual allocation,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930082_0103_1_1,Additional Extension Sets For Bolus Feeding - 10/Annual,Average annual allocation,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930083_0103_1_1,Additional Extension Sets For Pump Feeding - 10/Annual,Average annual allocation,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930084_0103_1_1,Additional Giving Sets - 270/Annual,Average annual allocation,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930085_0103_1_1,Additional Containers - 50/Annual,Average annual allocation,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930086_0103_1_1,Additional Bolus Syringes - 100/Annual,Average annual allocation,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930087_0103_1_1,Additional Water Flush Syringes - 100/Annual,Average annual allocation,YR,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_150930088_0103_1_1,Other HEN Equipment Including Additional Cost Of Food When Necessary,HEN equipment outside usual 12 month bundles,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_501509092_0103_1_1,HEN Equipment Repairs,,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_710930093_0103_1_1,Continence Aids Delivery - Non Metropolitan,Delivery of continence items in regional and remote areas - expected maximum up to 4 deliveries per year.  Price guidance is per delivery.,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_710930094_0103_1_1,Continence Aids Delivery - Metropolitan,Delivery of continence items in regional Metropolitan areas - expected maximum up to 4 deliveries per year. Price guidance is per delivery.,EA,N,,N,Consumables,03
Assistive Products For Personal Care And Safety,03_711509095_0103_1_1,HEN Equipment Delivery,,EA,N,,N,Consumables,03
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_097_0104_6_1,"Access Community, Social And Rec Activities- Ratio 1:1- Complex- Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,107.33,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_098_0104_6_1,"Access Community, Social And Rec Activities- Ratio 1:1- Complex- Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,55.27,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_099_0104_6_1,"Access Community, Social And Rec Activities - Ratio 1:1 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,69.48,Y,Assistance with social and community participation,04
High Intensity Daily Personal Activities (Assist Integrate School/Ed),04_100_0104_6_1,"Access Community, Social And Rec Activities - Ratio 1:1 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,N,88.42,Y,Assistance with social and community participation,04
